Metropolitan areas	Year	CO2_PC	GDP_PC	GREEN_AREA_PC	LABOUR_PRODUCTIVITY	UNEMP_R
Finland	2006		39046.52		83982.86	7.7
Finland	2007		40904.64		86631.87	6.84
Finland	2008	20.18	41016.54		85901.27	6.36
Finland	2009		37442.41		81158.19	8.25
Finland	2010		38381.85		83921.41	8.38
Finland	2011		39193.9		85167.18	7.79
Finland	2012		38449.01		83631.35	7.69
Finland	2013		37763.26		83416.32	8.18
Finland	2014					8.66
Paris	2000	8.87	53385.15	97.99	118739.67	8.79
Paris	2001		53772.99	97.35	117135.02	7.44
Paris	2002		54258.15	96.71	120707.4	8.21
Paris	2003		53959.46	96.07	122025.85	8.74
Paris	2004		54546.09	95.43	122759.6	8.84
Paris	2005	8.38	55443.64	94.78	125127.19	9.01
Paris	2006		55910.0	94.14	126094.74	8.9
Paris	2007		58006.13	93.49	128379.07	8.21
Paris	2008	7.91	60579.46	92.85	132471.58	7.19
Paris	2009		57872.88	92.2	128849.18	8.44
Paris	2010		60450.15	91.55	138195.33	8.98
Paris	2011		59997.53	90.9	137008.66	8.6
Paris	2012		59611.07	90.24	135670.67	8.54
Paris	2013			89.59		9.04
Paris	2014			88.93		9.73
Lyon	2000	7.99	41315.46	529.89	101925.02	8.01
Lyon	2001		41575.8	525.63	99970.36	7.02
Lyon	2002		40939.86	521.38	98598.73	6.81
Lyon	2003		40972.04	517.15	96220.81	7.4
Lyon	2004		42474.47	512.92	100393.09	8.61
Lyon	2005	7.37	42725.09	508.72	99729.78	8.39
Lyon	2006		44208.98	504.53	102206.82	7.85
Lyon	2007		44307.58	500.34	102789.79	6.83
Lyon	2008	7.1	45674.27	496.18	106808.52	6.69
Lyon	2009		43756.45	492.03	101635.93	8.52
Lyon	2010		44700.19	487.9	102587.7	8.51
Lyon	2011		45536.14	483.78	105156.98	8.2
Lyon	2012		45554.71	479.67	104272.99	8.51
Lyon	2013			475.58		8.56
Lyon	2014			471.5		8.95
Toulouse	2000	7.34	36022.87	212.58	85163.7	11.29
Toulouse	2001		37973.51	209.14	90087.09	9.89
Toulouse	2002		37898.98	205.73	89484.01	8.97
Toulouse	2003		37763.36	202.34	83699.81	8.88
Toulouse	2004		38095.66	198.97	85212.28	7.76
Toulouse	2005	6.89	39310.07	195.64	87292.57	7.61
Toulouse	2006		41838.8	192.32	94074.4	8.98
Toulouse	2007		40411.8	189.04	91116.27	8.66
Toulouse	2008	6.43	40856.32	185.78	89296.85	6.67
Toulouse	2009		40278.62	182.54	87906.48	9.49
Toulouse	2010		39352.55	179.34	85223.08	8.34
Toulouse	2011		40502.09	176.15	89490.58	8.56
Toulouse	2012		41131.48	172.99	93312.45	8.81
Toulouse	2013			169.86		8.59
Toulouse	2014			166.76		9.19
Strasbourg	2000	6.92	35701.06	381.86	82016.79	6.57
Strasbourg	2001		35517.76	379.81	80427.46	6.39
Strasbourg	2002		35279.05	377.77	80992.38	6.98
Strasbourg	2003		35698.44	375.72	81152.99	7.08
Strasbourg	2004		36406.1	373.67	82223.95	7.51
Strasbourg	2005	6.4	35690.17	371.62	78152.52	6.81
Strasbourg	2006		36204.61	369.56	80524.0	6.26
Strasbourg	2007		37029.84	367.49	81904.68	5.75
Strasbourg	2008	6.35	37425.2	365.43	80139.11	5.86
Strasbourg	2009		36298.33	363.36	81562.86	8.18
Strasbourg	2010		35761.87	361.29	79513.63	8.04
Strasbourg	2011		36503.69	359.22	79430.91	7.28
Strasbourg	2012		36164.11	357.14	81488.4	8.39
Strasbourg	2013			355.06		9.14
Strasbourg	2014			352.98		9.61
Bordeaux	2000	6.57	33917.84	1472.11	84169.01	11.83
Bordeaux	2001		35490.67	1456.61	81999.46	10.87
Bordeaux	2002		35189.84	1441.14	81941.13	9.87
Bordeaux	2003		35157.07	1425.74	85831.83	9.85
Bordeaux	2004		35671.03	1410.33	88913.63	10.58
Bordeaux	2005	6.17	35952.16	1394.98	87124.81	8.18
Bordeaux	2006		36940.28	1379.67	88417.84	8.49
Bordeaux	2007		37031.36	1364.38	85918.45	7.67
Bordeaux	2008	5.81	35659.32	1349.14	83653.17	7.73
Bordeaux	2009		35432.26	1333.93	82955.07	8.86
Bordeaux	2010		35859.6	1318.77	83231.69	8.69
Bordeaux	2011		36695.08	1303.65	87992.48	9.65
Bordeaux	2012		36744.8	1288.56	88602.85	10.19
Bordeaux	2013			1273.52		9.03
Bordeaux	2014			1258.52		9.23
Nantes	2000	6.82	33804.64	658.58	83154.06	11.04
Nantes	2001		34516.07	651.99	90807.45	8.92
Nantes	2002		34378.64	645.39	90400.44	8.61
Nantes	2003		34775.08	638.79	81778.49	8.5
Nantes	2004		35426.68	632.19	82370.75	8.39
Nantes	2005	6.53	35878.19	625.59	84227.04	8.08
Nantes	2006		36495.53	618.99	86751.75	7.7
Nantes	2007		36867.36	612.4	86751.62	6.7
Nantes	2008	6.23	36997.05	605.8	87932.89	6.62
Nantes	2009		35765.41	599.21	82248.96	7.84
Nantes	2010		35281.28	592.62	80958.15	9.07
Nantes	2011		36681.42	586.04	86161.53	8.84
Nantes	2012		37081.6	579.45	85504.94	8.62
Nantes	2013			572.87		8.6
Nantes	2014			566.3		8.42
Lille	2000	7.06	28423.4	42.05	80348.72	16.73
Lille	2001		28627.31	41.95	79892.2	14.02
Lille	2002		29118.75	41.85	79910.73	13.63
Lille	2003		29668.36	41.76	79625.85	11.91
Lille	2004		30272.93	41.66	79134.34	12.63
Lille	2005	7.21	30592.15	41.56	80703.95	13.34
Lille	2006		31436.98	41.46	83423.62	12.43
Lille	2007		32003.32	41.36	84691.62	11.71
Lille	2008	6.8	32092.58	41.26	85334.85	11.32
Lille	2009		31092.56	41.15	84017.76	13.49
Lille	2010		31022.56	41.05	82578.1	13.16
Lille	2011		31964.48	40.94	84659.4	12.82
Lille	2012		31792.59	40.84	84080.72	13.53
Lille	2013			40.73		14.59
Lille	2014			40.62		13.74
Montpellier	2000	5.97	28181.16	232.63	88483.01	17.75
Montpellier	2001		28996.22	229.52	92448.65	14.49
Montpellier	2002		28722.15	226.45	81316.27	14.18
Montpellier	2003		29101.96	223.4	79779.26	12.71
Montpellier	2004		29848.73	220.38	81178.18	11.81
Montpellier	2005	5.83	30463.76	217.4	83437.1	12.85
Montpellier	2006		31137.12	214.43	85160.33	12.02
Montpellier	2007		31255.7	211.5	82945.47	11.17
Montpellier	2008	5.6	32563.71	208.6	87735.89	10.5
Montpellier	2009		31971.67	205.72	87195.33	14.46
Montpellier	2010		32078.6	202.88	87909.45	14.93
Montpellier	2011		32529.85	200.06	87166.35	13.04
Montpellier	2012		32273.92	197.27	91439.84	16.2
Montpellier	2013			194.5		13.26
Montpellier	2014			191.76		12.49
Saint-Étienne	2000	5.14	27025.11	1133.51	72454.97	9.45
Saint-Étienne	2001		27460.68	1132.12	72188.5	8.55
Saint-Étienne	2002		27574.2	1130.64	72821.82	7.83
Saint-Étienne	2003		27238.59	1129.08	69867.02	8.13
Saint-Étienne	2004		28258.79	1127.4	72790.98	9.26
Saint-Étienne	2005	4.84	28750.32	1125.62	72993.52	9.07
Saint-Étienne	2006		29613.91	1123.75	73429.88	8.54
Saint-Étienne	2007		29999.19	1121.77	74654.14	7.41
Saint-Étienne	2008	4.57	30402.83	1119.68	76053.49	7.3
Saint-Étienne	2009		29306.64	1117.5	75631.78	9.5
Saint-Étienne	2010		28743.96	1115.21	73106.3	9.15
Saint-Étienne	2011		29691.97	1112.8	75716.48	8.95
Saint-Étienne	2012		29869.09	1110.31	75440.51	9.45
Saint-Étienne	2013			1107.69		9.43
Saint-Étienne	2014			1104.98		9.72
Rennes	2000	5.63	33410.54	580.73	79504.52	6.47
Rennes	2001		33458.01	573.13	74084.56	5.28
Rennes	2002		33646.56	565.57	74126.92	6.11
Rennes	2003		34135.24	557.99	76922.66	5.71
Rennes	2004		35732.28	550.43	81704.54	5.97
Rennes	2005	5.4	36713.43	542.89	86933.71	6.32
Rennes	2006		36938.63	535.35	86001.24	7.0
Rennes	2007		36778.02	527.83	86117.86	6.16
Rennes	2008	5.15	36318.06	520.34	83346.05	4.94
Rennes	2009		35036.03	512.86	79245.77	5.39
Rennes	2010		34897.79	505.4	81105.01	6.63
Rennes	2011		35839.5	497.96	83776.39	6.71
Rennes	2012		35778.3	490.53	84472.73	7.91
Rennes	2013			483.14		7.34
Rennes	2014			475.77		6.78
Grenoble	2000	6.79	34167.48	1159.16	85346.77	8.36
Grenoble	2001		34193.16	1153.89	83216.48	7.22
Grenoble	2002		33769.95	1148.59	82339.85	6.92
Grenoble	2003		33690.7	1143.24	79710.85	7.07
Grenoble	2004		34835.87	1137.84	82221.76	8.13
Grenoble	2005	6.74	34847.45	1132.41	81686.62	8.01
Grenoble	2006		35776.05	1126.93	83312.23	7.45
Grenoble	2007		35875.96	1121.39	83377.21	6.5
Grenoble	2008	6.36	35826.06	1115.82	84414.26	6.49
Grenoble	2009		34456.95	1110.21	82440.12	8.48
Grenoble	2010		34839.83	1104.56	82202.2	8.09
Grenoble	2011		35466.31	1098.87	84198.84	7.72
Grenoble	2012		34952.04	1093.13	82321.26	7.97
Grenoble	2013			1087.34		7.88
Grenoble	2014			1081.53		8.23
Toulon	2000	3.99	27071.31	14.53	86915.13	15.37
Toulon	2001		27734.25	14.45	88228.16	13.28
Toulon	2002		28287.64	14.37	87562.07	12.03
Toulon	2003		28732.51	14.29	79350.45	10.19
Toulon	2004		29516.49	14.21	81715.54	10.3
Toulon	2005	3.87	30288.77	14.13	85038.89	10.92
Toulon	2006		30656.79	14.05	88925.68	12.03
Toulon	2007		30655.31	13.96	84713.58	9.65
Toulon	2008	3.73	27654.6	13.88	74858.45	8.56
Toulon	2009		27027.55	13.8	74358.45	9.92
Toulon	2010		27216.78	13.72	76582.93	9.93
Toulon	2011		27496.98	13.63	76934.07	9.94
Toulon	2012		27426.52	13.55	77381.02	9.8
Toulon	2013			13.47		10.54
Toulon	2014			13.38		9.84
Marseille	2000	10.58	33207.19	51.49	100310.29	16.13
Marseille	2001		33943.67	51.13	101391.82	14.01
Marseille	2002		33626.94	50.78	98817.82	12.66
Marseille	2003		33989.69	50.43	88539.74	10.71
Marseille	2004		35363.38	50.08	92365.8	10.59
Marseille	2005	10.18	36152.19	49.73	96546.97	11.43
Marseille	2006		36921.68	49.38	100261.4	12.82
Marseille	2007		36784.36	49.03	95332.39	10.4
Marseille	2008	9.53	36543.95	48.68	92917.79	9.07
Marseille	2009		35824.27	48.33	90075.34	10.17
Marseille	2010		37015.14	47.99	95327.31	11.19
Marseille	2011		36959.9	47.64	94025.84	11.06
Marseille	2012		37492.16	47.29	95397.74	10.73
Marseille	2013			46.95		11.41
Marseille	2014			46.6		10.43
Nice	2000	7.22	33733.48	244.39	96713.86	11.63
Nice	2001		34922.77	243.11	98663.19	9.99
Nice	2002		34895.9	241.83	96456.2	9.68
Nice	2003		35288.93	240.54	86691.27	8.51
Nice	2004		36425.85	239.25	89851.88	8.46
Nice	2005	7.14	36980.5	237.95	92741.84	8.96
Nice	2006		37801.09	236.65	95496.03	9.68
Nice	2007		37919.26	235.33	91870.01	7.61
Nice	2008	6.82	36852.8	234.02	87951.48	6.63
Nice	2009		35749.44	232.7	85986.6	8.12
Nice	2010		36935.75	231.37	90068.81	8.52
Nice	2011		37120.76	230.04	89301.64	8.52
Nice	2012		37137.41	228.71	89757.42	8.69
Nice	2013			227.37		9.7
Nice	2014			226.02		9.23
Rouen	2000	20.89	32195.49	698.89	78240.21	11.66
Rouen	2001		32318.64	696.43	82379.64	9.39
Rouen	2002		32215.0	693.9	86394.81	10.56
Rouen	2003		32534.51	691.31	81805.02	9.15
Rouen	2004		33188.41	688.64	80469.55	8.56
Rouen	2005	20.46	33349.54	685.89	80011.53	8.25
Rouen	2006		33721.93	683.08	83915.54	9.52
Rouen	2007		34662.67	680.16	86154.72	9.23
Rouen	2008	18.54	33370.24	677.19	82946.19	9.13
Rouen	2009		31989.7	674.12	79968.5	10.56
Rouen	2010		32486.72	670.98	82931.21	10.23
Rouen	2011		33217.99	667.76	82399.76	9.47
Rouen	2012		33490.53	664.45	85805.02	11.58
Rouen	2013			661.06		11.66
Rouen	2014			657.58		12.03
France	2000	6.95	34017.17		88397.65	9.76
France	2001		34405.19		86117.69	8.61
France	2002		34523.09		86268.9	8.7
France	2003		34521.07		84335.5	8.58
France	2004		35233.4		86893.21	9.21
France	2005	6.8	35498.02		86729.52	8.88
France	2006		36040.35		88126.97	8.83
France	2007		36654.9		88651.12	8.0
France	2008	6.48	36510.19		87639.09	7.39
France	2009		35225.9		85840.87	9.12
France	2010		35758.77		87364.02	9.28
France	2011		36348.86		89026.0	9.17
France	2012		36286.27		89314.96	9.83
France	2013		36208.38		89467.74	9.89
France	2014					9.93
United Kingdom	2000	9.18	32314.81		69675.79	5.56
United Kingdom	2001		33055.21		70824.45	4.7
United Kingdom	2002		33728.74		72097.83	5.04
United Kingdom	2003		35024.42		74408.98	4.81
United Kingdom	2004		35708.43		75550.8	4.6
United Kingdom	2005	9.13	36473.75		76572.74	4.76
United Kingdom	2006		37311.57		77885.2	5.35
United Kingdom	2007		37981.34		79275.11	5.26
United Kingdom	2008	8.64	37548.82		78317.32	5.62
United Kingdom	2009		35657.65		76131.56	7.54
United Kingdom	2010		36067.22		77410.1	7.79
United Kingdom	2011		36362.54		78261.45	8.04
United Kingdom	2012		36329.65		77941.17	7.89
United Kingdom	2013		36582.75		78296.07	7.53
United Kingdom	2014					6.11
Athens	2000	4.55	31469.83	0.93	85730.81	12.33
Athens	2001		32667.5	0.94	82044.31	10.44
Athens	2002		34446.76	0.94	83589.43	9.43
Athens	2003		36887.35	0.94	88025.39	8.91
Athens	2004		39412.7	0.95	89810.93	9.32
Athens	2005	5.1	39926.72	0.95	90170.3	9.1
Athens	2006		42844.61	0.95	94849.14	8.49
Athens	2007		44829.86	0.96	98139.47	7.79
Athens	2008	5.13	44822.99	0.96	96033.57	6.68
Athens	2009		43367.87	0.96	94147.58	9.07
Athens	2010		41327.19	0.96	93883.88	12.57
Athens	2011		37782.44	0.97	93023.19	18.0
Athens	2012		35437.53	0.97	96945.61	25.82
Athens	2013		33292.64	0.97	95963.12	28.68
Athens	2014			0.97		27.34
Thessalonica	2000	3.64	20167.56	42.33	54303.85	10.92
Thessalonica	2001		21028.97	42.38	55245.44	10.88
Thessalonica	2002		21342.56	42.41	56770.37	10.95
Thessalonica	2003		22588.65	42.42	57506.55	10.05
Thessalonica	2004		23776.21	42.4	61772.72	11.89
Thessalonica	2005	4.16	23811.09	42.37	60977.59	11.21
Thessalonica	2006		25351.0	42.32	62673.04	9.47
Thessalonica	2007		26391.81	42.25	65193.08	9.09
Thessalonica	2008	4.05	26258.92	42.15	64814.58	8.44
Thessalonica	2009		24858.68	42.04	63043.84	10.08
Thessalonica	2010		23153.73	41.9	60976.35	13.66
Thessalonica	2011		21293.85	41.75	61766.24	19.75
Thessalonica	2012		19521.58	41.57	62498.55	26.18
Thessalonica	2013		18747.03	41.37	64171.29	30.15
Thessalonica	2014			41.15		28.73
Greece	2000	8.16	24812.7		66022.01	11.25
Greece	2001		25675.2		66449.05	10.46
Greece	2002		26396.62		67614.04	9.98
Greece	2003		28052.51		70710.29	9.41
Greece	2004		29350.39		73480.13	10.31
Greece	2005	8.62	29499.38		73575.85	9.99
Greece	2006		31095.78		76409.97	9.01
Greece	2007		32061.57		78480.19	8.4
Greece	2008	8.43	31799.44		77343.48	7.76
Greece	2009		30276.07		74828.95	9.62
Greece	2010		28513.14		73430.31	12.71
Greece	2011		25974.74		72459.19	17.86
Greece	2012		24675.36		74280.06	24.44
Greece	2013		23843.89		75080.62	27.47
Greece	2014					26.49
Budapest	2000	9.49	26918.46	426.06	64997.12	5.28
Budapest	2001		28313.72	425.34	68850.08	4.34
Budapest	2002		30615.26	424.58	73832.33	4.01
Budapest	2003		31025.59	423.78	73838.74	4.02
Budapest	2004		32722.29	422.94	76813.46	4.56
Budapest	2005	10.4	34703.03	422.06	80867.36	5.1
Budapest	2006		36861.43	421.13	85997.53	5.12
Budapest	2007		37497.03	420.17	87540.66	4.81
Budapest	2008	9.45	38126.05	419.17	89450.74	4.56
Budapest	2009		36399.28	418.12	87365.73	6.55
Budapest	2010		36383.2	417.03	89248.69	8.96
Budapest	2011		36500.99	415.9	88842.7	9.05
Budapest	2012		35963.7	414.72	85276.71	9.52
Budapest	2013			413.5		8.75
Budapest	2014			412.23		6.19
Hungary	2000	5.98	17220.17		46240.34	6.56
Hungary	2001		17900.85		47316.41	5.67
Hungary	2002		18751.69		49331.8	5.61
Hungary	2003		19522.32		50458.04	5.79
Hungary	2004		20509.33		53283.91	5.83
Hungary	2005	6.16	21423.4		55447.74	7.19
Hungary	2006		22318.91		57248.84	7.49
Hungary	2007		22456.2		57931.75	7.41
Hungary	2008	6.05	22700.26		59255.44	7.82
Hungary	2009		21243.76		56858.47	10.03
Hungary	2010		21446.97		57544.17	11.17
Hungary	2011		21896.95		58168.6	11.03
Hungary	2012		21690.07		56287.46	11.0
Hungary	2013		22072.26		56183.64	10.18
Hungary	2014					7.72
Dublin	2000	12.13	53106.65	26.14	107876.43	3.46
Dublin	2001		53617.01	25.76	107516.52	3.15
Dublin	2002		53130.01	25.37	107749.13	3.88
Dublin	2003		54431.91	24.96	111046.93	4.05
Dublin	2004		57541.25	24.54	117217.05	4.06
Dublin	2005	12.78	61535.54	24.11	121620.71	4.18
Dublin	2006		62969.61	23.66	121035.31	4.33
Dublin	2007		65039.88	23.2	121523.95	4.49
Dublin	2008	12.37	63065.8	22.72	120827.56	5.73
Dublin	2009		57543.73	22.23	121760.21	10.61
Dublin	2010		57273.71	21.72	128557.37	12.2
Dublin	2011		56195.8	21.2	131498.17	12.86
Dublin	2012		55269.51	20.66	132716.29	12.66
Dublin	2013			20.1		11.66
Dublin	2014			19.52		9.98
Ireland	2000	13.28	40591.49		90323.09	4.25
Ireland	2001		42116.57		92261.87	3.93
Ireland	2002		43810.43		96169.55	4.45
Ireland	2003		44372.32		97178.48	4.58
Ireland	2004		45658.99		98312.91	4.49
Ireland	2005	12.97	47277.98		99039.13	4.39
Ireland	2006		48720.79		99839.15	4.5
Ireland	2007		49569.53		100386.17	4.68
Ireland	2008	12.1	47001.71		98441.35	6.4
Ireland	2009		43388.81		100022.84	12.01
Ireland	2010		43001.11		103937.11	13.85
Ireland	2011		43986.77		108733.05	14.62
Ireland	2012		43736.05		109059.48	14.67
Ireland	2013		43731.88		106728.08	13.04
Ireland	2014					11.26
Rome	2000	10.36	47836.13	251.93	122766.44	11.05
Rome	2001		48928.59	250.04	124464.71	9.98
Rome	2002		49323.37	248.15	122641.81	7.93
Rome	2003		48662.53	246.25	120883.8	8.03
Rome	2004		50172.53	244.34	122254.22	7.47
Rome	2005	9.98	50376.28	242.42	123101.38	7.35
Rome	2006		51118.84	240.49	124073.8	7.21
Rome	2007		51745.1	238.56	125180.13	5.88
Rome	2008	9.11	50748.42	236.61	120970.34	7.04
Rome	2009		48924.74	234.66	117680.22	8.05
Rome	2010		48383.29	232.7	116634.37	8.94
Rome	2011		48318.78	230.73	117279.51	8.48
Rome	2012		46580.67	228.76	112375.55	9.97
Rome	2013			226.77		11.17
Rome	2014			224.78		11.43
Milan	2000	7.61	53499.91	24.21	122944.47	5.1
Milan	2001		54448.24	24.09	123924.61	4.52
Milan	2002		54660.97	23.97	122301.67	4.47
Milan	2003		54546.55	23.85	123087.24	4.41
Milan	2004		54944.81	23.72	122059.52	4.6
Milan	2005	8.01	55725.72	23.59	122273.36	4.19
Milan	2006		55522.97	23.47	120479.01	3.85
Milan	2007		56364.87	23.34	123063.32	3.7
Milan	2008	7.43	59423.79	23.21	129558.03	3.81
Milan	2009		56189.24	23.08	125753.02	5.59
Milan	2010		58845.9	22.94	133943.44	5.87
Milan	2011		58783.46	22.81	133883.12	5.81
Milan	2012		57074.17	22.67	130174.31	7.7
Milan	2013			22.53		7.86
Milan	2014			22.4		8.19
Naples	2000	6.77	22359.43	13.11	86255.04	26.73
Naples	2001		23068.44	13.1	87164.69	25.32
Naples	2002		23425.71	13.09	85646.88	23.8
Naples	2003		23290.43	13.08	84729.01	22.85
Naples	2004		23578.76	13.07	78592.74	17.54
Naples	2005	7.01	23753.39	13.06	81551.26	16.25
Naples	2006		23932.76	13.05	82489.83	14.02
Naples	2007		24131.2	13.04	84262.85	11.96
Naples	2008	6.59	24104.42	13.02	86754.57	13.52
Naples	2009		22978.25	13.01	86740.47	14.05
Naples	2010		22693.61	12.99	87487.68	15.03
Naples	2011		22199.92	12.97	86525.37	16.84
Naples	2012		21805.57	12.96	83907.82	21.36
Naples	2013			12.94		24.29
Naples	2014			12.92		23.74
Turin	2000	8.24	41818.68	251.18	98350.69	7.85
Turin	2001		41506.3	250.34	97990.22	6.21
Turin	2002		40910.1	249.49	97245.37	6.17
Turin	2003		40586.09	248.63	95750.22	5.95
Turin	2004		40815.99	247.77	98387.75	6.18
Turin	2005	8.72	41175.97	246.9	97810.72	4.86
Turin	2006		41612.15	246.03	98297.17	4.2
Turin	2007		41637.48	245.15	98269.19	4.63
Turin	2008	8.07	41603.76	244.26	96760.77	5.64
Turin	2009		37851.35	243.37	91200.44	8.28
Turin	2010		39019.0	242.47	95630.31	9.31
Turin	2011		39628.85	241.56	95401.58	9.06
Turin	2012		38236.65	240.64	92981.34	9.78
Turin	2013			239.72		11.3
Turin	2014			238.79		12.93
Palermo	2000	2.38	20491.25	44.95	83022.92	28.59
Palermo	2001		22247.34	44.95	85232.87	25.03
Palermo	2002		22120.35	44.94	85883.78	23.44
Palermo	2003		22063.79	44.92	87644.22	22.91
Palermo	2004		22436.08	44.91	78617.42	20.26
Palermo	2005	2.44	23256.63	44.89	80612.89	19.0
Palermo	2006		23687.41	44.86	81993.3	18.3
Palermo	2007		23890.79	44.83	81026.5	15.39
Palermo	2008	2.31	24732.94	44.8	84736.81	16.93
Palermo	2009		23902.29	44.76	82268.24	17.64
Palermo	2010		23983.38	44.72	85775.03	18.39
Palermo	2011		23190.37	44.68	84256.48	15.62
Palermo	2012		22171.86	44.63	81415.46	19.13
Palermo	2013			44.58		20.48
Palermo	2014			44.52		23.18
Genova	2000	9.68	40855.98	322.36	114974.65	10.11
Genova	2001		42426.05	323.39	116075.26	7.52
Genova	2002		41667.7	324.42	112581.24	8.0
Genova	2003		42120.02	325.46	106080.82	7.22
Genova	2004		42611.73	326.49	107133.39	5.14
Genova	2005	10.52	42798.37	327.52	108993.41	5.46
Genova	2006		43541.44	328.56	112305.11	5.04
Genova	2007		44515.61	329.59	111903.31	4.4
Genova	2008	9.88	45000.43	330.63	111500.26	5.41
Genova	2009		42845.23	331.67	104609.62	5.57
Genova	2010		42722.31	332.71	106121.4	6.49
Genova	2011		41979.48	333.74	104860.86	6.99
Genova	2012		41060.52	334.78	103224.2	7.71
Genova	2013			335.82		9.16
Genova	2014			336.86		10.13
Florence	2000	5.49	46484.08	523.05	117145.08	5.63
Florence	2001		46916.24	521.48	116493.3	4.15
Florence	2002		46021.0	519.9	112690.4	4.25
Florence	2003		45810.9	518.31	107786.65	3.89
Florence	2004		45545.46	516.71	105829.66	4.94
Florence	2005	5.46	45507.65	515.11	104260.47	4.6
Florence	2006		46684.8	513.5	106498.42	4.43
Florence	2007		46792.17	511.89	107372.12	3.56
Florence	2008	5.0	46989.43	510.26	105243.01	4.45
Florence	2009		45000.57	508.63	102331.09	4.98
Florence	2010		44815.39	506.99	103199.51	4.71
Florence	2011		45151.49	505.34	104336.45	5.9
Florence	2012		43991.83	503.69	101581.31	6.97
Florence	2013			502.03		8.12
Florence	2014			500.36		7.75
Bari	2000	3.29	27005.88	0.76	81104.75	14.67
Bari	2001		27487.3	0.76	81720.13	12.09
Bari	2002		26910.13	0.76	78832.53	11.44
Bari	2003		26414.69	0.76	77615.43	11.28
Bari	2004		26308.74	0.75	78414.86	14.62
Bari	2005	3.31	26032.11	0.75	79785.19	13.74
Bari	2006		26938.16	0.75	80712.5	11.72
Bari	2007		27110.91	0.75	78408.89	8.78
Bari	2008	3.16	26794.73	0.75	77316.65	9.74
Bari	2009		25389.83	0.74	76220.92	10.87
Bari	2010		25520.35	0.74	76819.47	11.11
Bari	2011		25446.87	0.74	77433.94	12.15
Bari	2012		24705.65	0.74	75228.81	16.0
Bari	2013			0.74		19.65
Bari	2014			0.74		20.44
Bologna	2000	7.17	50336.0	199.52	112715.51	3.15
Bologna	2001		49454.78	198.42	113297.76	3.32
Bologna	2002		48895.47	197.32	110421.45	2.79
Bologna	2003		48213.52	196.22	108449.2	2.28
Bologna	2004		48292.55	195.11	107734.06	2.96
Bologna	2005	7.02	48457.91	194.0	107949.85	2.84
Bologna	2006		50185.95	192.88	106735.93	2.95
Bologna	2007		49743.8	191.76	108095.44	2.44
Bologna	2008	6.41	48327.75	190.64	104227.54	2.17
Bologna	2009		45632.73	189.51	101185.82	3.4
Bologna	2010		48110.43	188.37	107295.58	4.91
Bologna	2011		49338.5	187.24	109217.65	4.66
Bologna	2012		47669.69	186.09	107941.6	6.84
Bologna	2013			184.95		8.16
Bologna	2014			183.8		7.03
Catania	2000	5.08	23589.5	36.18	82891.37	24.8
Catania	2001		23661.9	36.13	83277.87	23.04
Catania	2002		23604.87	36.07	82057.99	22.07
Catania	2003		23910.04	36.01	81195.63	22.03
Catania	2004		23653.0	35.94	82386.12	14.71
Catania	2005	5.28	24305.22	35.87	81703.03	15.24
Catania	2006		24399.17	35.79	82268.98	12.22
Catania	2007		24299.83	35.71	83595.0	11.53
Catania	2008	4.84	24443.14	35.63	83171.8	11.97
Catania	2009		23135.11	35.55	80006.52	11.24
Catania	2010		22787.22	35.45	80184.75	11.91
Catania	2011		22210.93	35.36	78648.27	12.4
Catania	2012		21400.5	35.26	76865.8	16.39
Catania	2013			35.16		19.52
Catania	2014			35.05		19.23
Venice	2000	29.05	40381.93	1.2	96432.74	4.92
Venice	2001		40220.07	1.2	92962.55	5.1
Venice	2002		39496.13	1.2	93403.45	4.49
Venice	2003		39853.3	1.2	93775.5	3.99
Venice	2004		40645.63	1.2	96660.0	4.99
Venice	2005	25.66	40830.43	1.2	95717.16	4.39
Venice	2006		42447.81	1.2	100063.39	5.01
Venice	2007		42472.67	1.19	101439.87	3.05
Venice	2008	24.81	40366.43	1.19	94751.51	3.52
Venice	2009		38675.02	1.19	93428.36	5.42
Venice	2010		38843.48	1.19	94253.38	6.44
Venice	2011		39047.75	1.19	94728.08	5.31
Venice	2012		37818.02	1.18	92780.16	8.43
Venice	2013			1.18		8.79
Venice	2014			1.18		9.39
Italy	2000	7.38	35037.8		92360.23	10.6
Italy	2001		35635.69		92412.44	9.4
Italy	2002		35708.23		91541.48	9.08
Italy	2003		35673.24		91620.63	8.84
Italy	2004		36007.74		92578.2	8.0
Italy	2005	7.67	36111.72		93272.49	7.73
Italy	2006		36716.08		93678.16	6.78
Italy	2007		37155.24		94491.1	6.08
Italy	2008	7.15	36496.17		92705.82	6.72
Italy	2009		34292.39		89135.98	7.75
Italy	2010		34767.28		91352.13	8.36
Italy	2011		34868.48		91598.29	8.36
Italy	2012		33885.63		89187.72	10.65
Italy	2013		33147.74		89156.65	12.15
Italy	2014					12.68
Sapporo	2000	5.81		176.6		5.5
Sapporo	2001		28431.22	175.58	59298.2	5.82
Sapporo	2002		28416.32	174.56	60344.39	6.06
Sapporo	2003		28793.93	173.54	61210.49	6.54
Sapporo	2004		29545.97	172.51	62952.76	5.77
Sapporo	2005	5.61	29321.33	171.48	61964.99	5.33
Sapporo	2006		29235.38	171.06	62299.35	5.4
Sapporo	2007		29337.07	170.63	62026.54	5.11
Sapporo	2008	5.2	28841.99	170.19	60968.7	4.96
Sapporo	2009		29044.8	169.75	61723.2	5.31
